형태소,품사,분류,카운트
는,Josa,김태호,4
는,Josa,노홍철,10
는,Josa,박명수,8
는,Josa,유재석,4
는,Josa,장진영,3
는,Josa,정준하,18
는,Josa,정형돈,10
는,Verb,길,1
는,Verb,박명수,1
니,Josa,정준하,1
니까,Josa,길,1
니까,Josa,김태호,1
니까,Josa,노홍철,3
니까,Josa,박명수,4
니까,Josa,유재석,4
니까,Josa,장진영,4
니까,Josa,정준하,5
니까,Josa,정형돈,5
니까,Josa,판사,1
니요,Noun,유재석,1
님,Noun,최단비,1
님,Suffix,박명수,3
님,Suffix,유재석,5
님,Suffix,정준하,3
님,Suffix,정형돈,3
님,Suffix,최단비,1
다,Adverb,길,6
다,Adverb,노홍철,1
다,Adverb,박명수,1
다,Adverb,정준하,4
다,Adverb,정형돈,2
다,Josa,노홍철,2
다,Josa,박명수,2
다,Josa,장진영,1
다가,Noun,최단비,1
다가갔기,Verb,정형돈,1
다기,Noun,유재석,1
다녀서,Verb,노홍철,1
다니는데,Verb,박명수,1
다르다고,Adjective,노홍철,1
다섯,Determiner,박명수,1
다섯,Noun,박명수,1
다시,Noun,노홍철,1
다시,Noun,정준하,3
다시,Noun,최단비,1
다음,Noun,김태호,2
다음,Noun,장진영,1
다음,Noun,정준하,1
다쳤거든요,Verb,박명수,1
다치고,Verb,박명수,1
다행,Noun,박명수,1
닦아가지고,Verb,정준하,1
닦아주려고,Verb,유재석,1
닦아주었는데,Verb,정준하,1
닦았을까요,Verb,정형돈,1
닦았죠,Verb,노홍철,1
닦으신,Verb,노홍철,1
닦은,Verb,노홍철,1
닦지,Verb,노홍철,1
닦지,Verb,유재석,1
달라,Noun,길,1
달았고,Verb,정준하,1
답변,Noun,장진영,1
당겼습니다,Verb,김태호,1
당사자,Noun,박명수,1
당시,Noun,노홍철,1
당시,Noun,정형돈,4
당연한,Adjective,노홍철,1
당연히,Adjective,길,1
당일,Noun,정준하,1
당하게,Adjective,정준하,1
당황,Noun,노홍철,1
대로,Josa,정형돈,1
대며,Verb,정형돈,1
대요,Noun,박명수,1
대우,Noun,정형돈,1
대접,Noun,정준하,1
대중,Noun,정준하,1
대한,Noun,장진영,1
대한,Noun,정형돈,2
대해,Noun,길,2
대해,Noun,유재석,1
대해,Noun,정준하,1
대해,Noun,정형돈,3
대해,Noun,최단비,1
더,Noun,길,1
더,Noun,김태호,1
더,Noun,노홍철,1
더,Noun,유재석,1
더,Noun,장진영,1
더,Noun,정형돈,2
더군다나,Noun,정준하,1
더럽다고,Adjective,길,1
더럽다고,Adjective,노홍철,1
덕분,Noun,정형돈,1
데,Noun,유재석,1
데,Noun,정준하,1
데,Noun,최단비,1
도,Josa,김태호,2
도,Josa,노홍철,1
도,Josa,박명수,2
도,Josa,유재석,2
도,Josa,정준하,3
도,Josa,최단비,2
도,Josa,판사,1
도,Noun,박명수,1
도둑,Noun,노홍철,1
도와주세요,Verb,길,2
도와주시는,Verb,유재석,1
돈,Noun,박명수,1
돌,Noun,정형돈,1
돌리겠습니다,Verb,길,1
돌리고,Verb,최단비,1
돌아올,Verb,길,1
돌아이,Noun,노홍철,1
동,Modifier,노홍철,1
동네,Noun,박명수,2
동의,Noun,유재석,1
돼,Verb,박명수,1
돼,Verb,정형돈,1
돼요,Verb,길,1
돼요,Verb,김태호,1
돼요,Verb,박명수,1
돼있으면,Verb,박명수,1
됐다,Verb,정형돈,1
됐습니까,Verb,유재석,1
됐습니까,Verb,정준하,1
됐어,Verb,길,1
되겠냐고,Verb,길,1
되겠느냐라고,Verb,길,1
되겠습니까,Verb,유재석,1
되겠습니까,Verb,정형돈,1
되고요,Verb,판사,1
되냐,Verb,정형돈,1
되는,Verb,길,1
되는,Verb,유재석,1
되는,Verb,장진영,1
되는건,Verb,유재석,1
